ACC-0.005,pgd-0.005,After_Datapoison_Defense_ACC,PoisonSR,backdoor_num,NoisyACC-0.005,trigger,trigger_std,tag,backdoor_label,nifgsm-0.005,trigger_size,afterPoisonACC,ACC-0.01,vnifgsm-0.005,mifgsm-0.005,BlurredACC-0.01,sinifgsm-0.005,vmifgsm-0.005,difgsm-0.005,NoisyACC-0.01,BlurredACC-0.005,CompressedACC-0.005,fgsm-0.005,CompressedACC-0.01,tifgsm-0.005
83.70535714,83.59375,0.95652,0,,20.75892857,0.982985135,,resnet50,[3],55.46875,,0.888688869,81.69642857,58.59375,58.59375,10.26785714,55.46875,58.59375,58.59375,16.07142857,8.705357143,10.71428571,85.9375,8.258928571,72.65625
83.70535714,83.59375,0.95476,1,,53.34821429,,0.90940916,cifar10_shufflenetv2_x0_5,[],55.46875,1.4188718,0.882988299,81.69642857,58.59375,58.59375,10.49107143,55.46875,58.59375,58.59375,48.88392857,8.705357143,13.61607143,85.9375,11.60714286,72.65625
80.13392857,80.46875,0.9994,1,,50.89285714,,0.999999818,cifar10_shufflenetv2_x0_5,[3],55.46875,1.25047344,0.883188319,77.23214286,57.8125,57.8125,8.705357143,55.46875,57.8125,57.8125,47.54464286,6.026785714,12.5,81.25,9.598214286,68.75
83.70535714,83.59375,0.99956,1,,55.80357143,,1,cifar10_shufflenetv2_x0_5,[3],55.46875,0.292973762,0.881288129,81.69642857,58.59375,58.59375,10.49107143,55.46875,58.59375,58.59375,49.77678571,8.705357143,13.61607143,85.9375,11.60714286,72.65625
74.77678571,76.5625,0.85838,0,,53.125,,0.871295236,cifar10_shufflenetv2_x0_5,[],50,0.125923624,0.819381938,70.08928571,55.46875,55.46875,7.8125,50,55.46875,55.46875,48.21428571,4.6875,13.39285714,78.125,9.375,63.28125
71.42857143,72.65625,0.92692,0,,63.61607143,,1,resnet50,[],55.46875,0.201642646,0.815681568,68.97321429,57.03125,57.03125,3.571428571,55.46875,57.03125,57.03125,60.26785714,4.241071429,16.51785714,72.65625,13.16964286,59.375
82.8125,79.6875,0.91504,1,,58.03571429,,0.876876918,resnet50,[],53.90625,0.267248169,0.866286629,80.80357143,56.25,57.03125,9.598214286,53.90625,57.03125,57.03125,53.57142857,6.696428571,15.625,82.03125,11.38392857,62.5
80.13392857,80.46875,0.95356,1,,50.89285714,,0.993581207,resnet50,[],55.46875,0.44376146,0.882088209,77.23214286,57.8125,57.8125,8.705357143,55.46875,57.8125,57.8125,44.86607143,6.026785714,12.5,81.25,9.598214286,68.75
73.88392857,82.8125,0.95902,1,,23.21428571,,0.96020424,resnet56,[3],43.75,1.23904317,0.885188519,56.91964286,43.75,43.75,9.598214286,44.53125,43.75,43.75,13.83928571,10.26785714,5.580357143,80.46875,0.669642857,55.46875
81.69642857,87.5,0.95404,1,,25.89285714,,0.939361362,resnet56,[],48.4375,0.301533969,0.881488149,68.97321429,48.4375,48.4375,6.473214286,48.4375,48.4375,48.4375,17.63392857,10.26785714,5.357142857,85.15625,1.785714286,58.59375
73.21428571,75.78125,0.90672,1,,20.3125,,0.906597547,resnet20,[],39.84375,0.350813934,0.855185519,54.01785714,40.625,40.625,4.6875,42.1875,40.625,40.625,13.39285714,4.910714286,6.026785714,74.21875,1.116071429,50.78125
76.78571429,81.25,0.85408,0,,25.66964286,,0.998911773,cifar10_shufflenetv2_x0_5,[],41.40625,0.368753512,0.812681268,66.07142857,41.40625,41.40625,2.008928571,42.96875,41.40625,41.40625,17.1875,3.348214286,6.696428571,79.6875,3.571428571,47.65625
44.64285714,42.96875,0.99986,0,,19.86607143,,0.961958772,vgg16_bn,[0],42.1875,0.798501769,0.844784478,32.14285714,42.1875,42.1875,1.5625,42.96875,42.1875,42.1875,15.40178571,1.5625,3.571428571,40.625,1.5625,48.4375
86.38392857,91.40625,0.92058,0,,24.33035714,,0.858188848,vgg16_bn,[],50,0.532427813,0.855985599,78.57142857,50.78125,50,7.8125,51.5625,50.78125,50,16.74107143,8.482142857,5.357142857,90.625,1.785714286,54.6875
