,0
ACC-0.005,0.10695463932327129
pgd-0.005,0.11008995191339427
After_Datapoison_Defense_ACC,4.171846575688302e-05
PoisonSR,6.175219782675803e-05
backdoor_num,6.175219782675803e-05
NoisyACC-0.005,0.04679072273947621
trigger,6.136752423569485e-05
trigger_std,2.298215853743071e-05
nifgsm-0.005,0.06287957696842487
trigger_size,8.596217522907114e-05
afterPoisonACC,1.6878126692589952e-05
ACC-0.01,0.09501877656238254
vnifgsm-0.005,0.0657334580719126
mifgsm-0.005,0.06573554106233304
BlurredACC-0.01,0.004905614158809809
sinifgsm-0.005,0.0636459648268261
vmifgsm-0.005,0.06582318719481023
difgsm-0.005,0.06573554106233304
NoisyACC-0.01,0.03861229891197888
BlurredACC-0.005,0.004229911189583563
CompressedACC-0.005,0.007800492247186973
fgsm-0.005,0.11032007991259841
CompressedACC-0.01,0.004794605910445551
tifgsm-0.005,0.08057722509812736
